country_id,sus_indicator_id,year,indicator_value,source_note
49,6,2014,13.1,WDI Data
49,7,2016,16.6,WDI Data
49,8,2017,2.8,WDI Data
49,9,2014,1.8,WDI Data
49,10,2018,15.7,WDI Data
49,11,2015,26.5,WDI Data
49,12,2017,62.3,WDI Data
50,3,2017,79.9,WDI Data
50,4,2015,45.3,WDI Data
50,6,2014,69.6,WDI Data
50,7,2016,20.5,WDI Data
50,9,2014,0.2,WDI Data
50,10,2018,0.1,WDI Data
50,12,2017,8.5,WDI Data
52,3,2017,19.1,WDI Data
52,4,2015,95.8,WDI Data
52,5,2015,0.4,WDI Data
52,6,2014,74.8,WDI Data
52,7,2016,45.5,WDI Data
52,8,2017,-4.4,WDI Data
52,9,2014,0.1,WDI Data
52,10,2018,13.8,WDI Data
52,12,2017,8.6,WDI Data
51,1,2017,45.4,WDI Data
51,3,2017,66.2,WDI Data
51,4,2015,62.4,WDI Data
51,6,2014,46.9,WDI Data
51,7,2016,45.7,WDI Data
51,8,2017,-40.4,WDI Data
51,9,2014,0.7,WDI Data
51,10,2018,36.8,WDI Data
51,12,2017,8.7,WDI Data
54,1,2017,93.8,WDI Data
54,3,2017,99.6,WDI Data
54,4,2015,38.7,WDI Data
54,5,2015,0.4,WDI Data
54,6,2014,5.5,WDI Data
54,7,2016,15.7,WDI Data
54,8,2017,15.9,WDI Data
54,9,2014,1.6,WDI Data
54,10,2018,3.0,WDI Data
54,11,2015,11.6,WDI Data
54,12,2017,71.4,WDI Data
55,1,2017,36.5,WDI Data
55,3,2017,65.6,WDI Data
55,4,2015,64.5,WDI Data
55,5,2015,0.1,WDI Data
55,6,2014,56.0,WDI Data
55,7,2016,26.7,WDI Data
55,8,2017,16.6,WDI Data
55,9,2014,0.5,WDI Data
55,10,2018,14.9,WDI Data
55,12,2017,43.8,WDI Data
56,1,2017,90.0,WDI Data
56,2,2017,58.5,WDI Data
56,3,2017,100.0,WDI Data
56,4,2015,33.1,WDI Data
56,5,2015,0.8,WDI Data
56,7,2016,17.8,WDI Data
56,8,2017,10.8,WDI Data
56,9,2014,4.0,WDI Data
56,10,2018,23.6,WDI Data
56,11,2015,0.9,WDI Data
56,12,2017,67.1,WDI Data
57,2,2017,44.3,WDI Data
57,3,2017,100.0,WDI Data
57,4,2015,19.3,WDI Data
57,5,2015,0.4,WDI Data
57,7,2016,19.7,WDI Data
57,9,2014,3.1,WDI Data
57,10,2018,7.2,WDI Data
57,11,2015,5.4,WDI Data
57,12,2017,57.1,WDI Data
58,3,2017,100.0,WDI Data
58,4,2015,0.3,WDI Data
58,9,2014,37.7,WDI Data
58,10,2018,0.3,WDI Data
58,12,2017,68.1,WDI Data
59,1,2017,99.6,WDI Data
59,2,2017,75.5,WDI Data
59,3,2017,100.0,WDI Data
59,4,2015,9.9,WDI Data
59,5,2015,0.5,WDI Data
59,7,2016,17.0,WDI Data
59,8,2017,3.2,WDI Data
59,9,2014,5.3,WDI Data
59,10,2018,1.7,WDI Data
59,11,2015,1.3,WDI Data
59,12,2017,80.7,WDI Data
60,1,2017,97.9,WDI Data
60,2,2017,94.5,WDI Data
60,3,2017,100.0,WDI Data
60,4,2015,14.8,WDI Data
60,5,2015,1.9,WDI Data
60,7,2016,16.1,WDI Data
60,8,2017,10.3,WDI Data
60,9,2014,9.2,WDI Data
60,10,2018,22.2,WDI Data
60,11,2015,0.8,WDI Data
60,12,2017,78.7,WDI Data
61,1,2017,96.7,WDI Data
61,2,2017,94.8,WDI Data
61,3,2017,100.0,WDI Data
61,4,2015,33.2,WDI Data
61,5,2015,3.1,WDI Data
61,7,2016,10.1,WDI Data
61,8,2017,18.3,WDI Data
61,9,2014,5.9,WDI Data
61,10,2018,17.9,WDI Data
61,11,2015,1.1,WDI Data
61,12,2017,97.1,WDI Data
62,2,2017,36.4,WDI Data
62,3,2017,60.2,WDI Data
62,4,2015,15.4,WDI Data
62,6,2014,65.6,WDI Data
62,7,2016,45.9,WDI Data
62,8,2017,-1.8,WDI Data
62,9,2014,0.8,WDI Data
62,10,2018,1.2,WDI Data
62,12,2017,55.7,WDI Data
63,3,2017,100.0,WDI Data
63,4,2015,7.8,WDI Data
63,7,2016,20.0,WDI Data
63,9,2014,1.9,WDI Data
63,10,2018,0.7,WDI Data
63,11,2015,12.3,WDI Data
63,12,2017,69.6,WDI Data
64,3,2017,100.0,WDI Data
64,4,2015,16.5,WDI Data
64,6,2014,12.1,WDI Data
64,7,2016,13.7,WDI Data
64,8,2017,17.3,WDI Data
64,9,2014,2.1,WDI Data
64,10,2018,19.2,WDI Data
64,11,2015,15.2,WDI Data
64,12,2017,67.6,WDI Data
65,1,2017,75.1,WDI Data
65,2,2017,42.0,WDI Data
65,3,2017,100.0,WDI Data
65,4,2015,13.8,WDI Data
65,5,2015,0.4,WDI Data
65,6,2014,36.0,WDI Data
65,7,2016,15.0,WDI Data
65,8,2017,11.4,WDI Data
65,9,2014,2.8,WDI Data
65,10,2018,15.0,WDI Data
65,11,2015,6.5,WDI Data
65,12,2017,57.3,WDI Data
66,2,2017,60.7,WDI Data
66,3,2017,100.0,WDI Data
66,4,2015,5.7,WDI Data
66,5,2015,0.7,WDI Data
66,6,2014,10.6,WDI Data
66,7,2016,88.1,WDI Data
66,8,2017,1.2,WDI Data
66,9,2014,2.2,WDI Data
66,10,2018,11.6,WDI Data
