country_id,energy_indicator_id,year,indicator_value,data_source
96,1,2000,83.9,WDI
96,1,2016,98.7,WDI
96,2,2016,99.9,WDI
96,3,2016,98.1,WDI
96,4,2000,76.5,WDI
96,4,2016,92.0,WDI
96,5,2000,30.4,WDI
96,5,2015,28.0,WDI
96,6,2000,49.5,WDI
96,6,2015,99.9,WDI
97,1,2000,32.2,WDI
97,1,2016,46.5,WDI
97,2,2016,70.9,WDI
97,3,2016,32.4,WDI
97,4,2000,5.3,WDI
97,4,2016,16.4,WDI
97,5,2000,80.7,WDI
97,5,2015,77.7,WDI
100,1,2000,77.3,WDI
100,1,2016,95.6,WDI
100,2,2016,98.8,WDI
100,3,2016,90.9,WDI
100,4,2000,46.7,WDI
100,4,2016,90.4,WDI
100,5,2000,41.2,WDI
100,5,2015,46.7,WDI
100,6,2000,69.4,WDI
100,6,2015,70.3,WDI
101,1,2000,100.0,WDI
101,1,2016,100.0,WDI
101,2,2016,100.0,WDI
101,3,2016,100.0,WDI
101,4,2000,100.0,WDI
101,4,2016,100.0,WDI
101,5,2000,0.0,WDI
101,5,2015,0.0,WDI
101,6,2000,0.0,WDI
101,6,2015,0.0,WDI
102,1,2000,100.0,WDI
102,1,2016,100.0,WDI
102,2,2016,100.0,WDI
102,3,2016,100.0,WDI
102,4,2000,99.8,WDI
102,4,2016,100.0,WDI
102,5,2000,3.2,WDI
102,5,2015,11.1,WDI
102,6,2000,1.5,WDI
102,6,2015,8.1,WDI
103,1,2000,100.0,WDI
103,1,2016,100.0,WDI
103,2,2016,100.0,WDI
103,3,2016,100.0,WDI
103,4,2000,100.0,WDI
103,4,2016,100.0,WDI
103,5,2000,64.2,WDI
103,5,2015,78.7,WDI
103,6,2000,99.9,WDI
103,6,2015,100.0,WDI
104,1,2000,51.0,WDI
104,1,2016,84.5,WDI
104,2,2016,97.7,WDI
104,3,2016,75.9,WDI
104,4,2000,25.8,WDI
104,4,2016,53.2,WDI
104,5,2000,27.1,WDI
104,5,2015,23.6,WDI
104,6,2000,12.7,WDI
104,6,2015,15.9,WDI
105,1,2000,54.4,WDI
105,1,2016,95.5,WDI
105,2,2016,99.7,WDI
105,3,2016,89.5,WDI
105,4,2000,32.9,WDI
105,4,2016,76.3,WDI
106,1,2000,98.5,WDI
106,1,2016,100.0,WDI
106,2,2016,100.0,WDI
106,3,2016,100.0,WDI
106,4,2000,99.5,WDI
106,4,2016,100.0,WDI
106,5,2000,0.1,WDI
106,5,2015,0.0,WDI
106,6,2000,0.1,WDI
106,6,2015,0.1,WDI
107,1,2000,98.6,WDI
107,1,2016,100.0,WDI
107,2,2016,100.0,WDI
107,3,2016,100.0,WDI
107,4,2000,99.8,WDI
107,4,2016,100.0,WDI
107,5,2000,0.0,WDI
107,5,2015,0.0,WDI
108,1,2000,100.0,WDI
108,1,2016,100.0,WDI
108,2,2016,100.0,WDI
108,3,2016,100.0,WDI
108,4,2000,100.0,WDI
108,4,2016,100.0,WDI
108,5,2000,2.1,WDI
108,5,2015,8.9,WDI
108,6,2000,2.4,WDI
108,6,2015,22.2,WDI
109,1,2000,100.0,WDI
109,1,2016,100.0,WDI
109,2,2016,100.0,WDI
109,3,2016,100.0,WDI
110,1,2000,100.0,WDI
110,1,2016,100.0,WDI
110,2,2016,100.0,WDI
110,3,2016,100.0,WDI
110,4,2000,100.0,WDI
110,4,2016,100.0,WDI
110,5,2000,1.4,WDI
110,5,2015,1.9,WDI
110,6,2000,0.1,WDI
110,6,2015,1.8,WDI
111,1,2000,100.0,WDI
111,1,2016,100.0,WDI
111,2,2016,100.0,WDI
111,3,2016,100.0,WDI
111,4,2000,100.0,WDI
111,4,2016,100.0,WDI
111,5,2000,5.7,WDI
111,5,2015,17.4,WDI
111,6,2000,18.7,WDI
111,6,2015,35.7,WDI
112,1,2000,95.4,WDI
112,1,2016,98.9,WDI
112,2,2016,99.8,WDI
112,3,2016,97.7,WDI
112,4,2000,96.3,WDI
112,4,2016,98.8,WDI
112,5,2000,1.4,WDI
112,5,2015,3.2,WDI
112,6,2000,3.3,WDI
112,6,2015,8.7,WDI
113,1,2000,100.0,WDI
113,1,2016,100.0,WDI
113,2,2016,100.0,WDI
113,3,2016,100.0,WDI
113,4,2000,100.0,WDI
113,4,2016,100.0,WDI
113,5,2000,2.1,WDI
113,5,2015,5.2,WDI
113,6,2000,11.3,WDI
113,6,2015,14.7,WDI
115,1,2000,98.7,WDI
115,1,2016,100.0,WDI
115,2,2016,100.0,WDI
115,3,2016,100.0,WDI
115,4,2000,98.4,WDI
115,4,2016,99.9,WDI
115,5,2000,1.1,WDI
115,5,2015,1.1,WDI
115,6,2000,0.5,WDI
115,6,2015,1.7,WDI
116,1,2000,100.0,WDI
116,1,2016,100.0,WDI
116,2,2016,100.0,WDI
116,3,2016,100.0,WDI
116,4,2000,100.0,WDI
116,4,2016,100.0,WDI
116,5,2000,0.1,WDI
116,5,2015,0.2,WDI
116,6,2000,7.1,WDI
116,6,2015,1.5,WDI
117,1,2000,20.0,WDI
117,1,2016,56.0,WDI
117,2,2016,80.1,WDI
117,3,2016,43.4,WDI
117,4,2000,5.1,WDI
117,4,2016,19.3,WDI
117,5,2000,71.2,WDI
117,5,2015,69.5,WDI
117,6,2000,61.9,WDI
117,6,2015,64.2,WDI
118,1,2000,80.0,WDI
118,4,2000,81.1,WDI
118,4,2016,86.0,WDI
118,5,2000,0.0,WDI
118,5,2015,0.0,WDI
118,6,2000,0.0,WDI
118,6,2015,0.0,WDI
120,1,2000,100.0,WDI
120,1,2016,100.0,WDI
120,2,2016,100.0,WDI
120,3,2016,100.0,WDI
120,4,2000,100.0,WDI
120,4,2016,100.0,WDI
120,5,2000,2.1,WDI
120,5,2015,2.1,WDI
120,6,2000,2.7,WDI
120,6,2015,4.8,WDI
999,1,2000,100.0,WDI
